R,duplicates,population,mutation,elitism,alpha,evaluation,crossover_rate,repetitions,exploration,crossover_type,creation
0.137290654995672,0,8,0.238968976421672,7,0.82379277050333,thompson_optimistic,0.641210039814836,254,5.0073595916687,scatter,0.0205340591785276
0.140773092410175,0.0136986301369864,73,0.455775065960177,54,0.661626893837918,ucb,0.228974630545909,34,3.13825797668897,scatter,0.0140880036300291
0.133992749319092,0.5,2,0.729381307786252,1,0.242892238326737,ucb,0.865999255331842,304,2.4030494875017,rectangle,0.0179813497592395
0.142089468362659,0.032258064516129,62,0.958190512144172,40,0.69876666068635,ucb,0.598189515103264,46,15.2424765879758,single_point,0.0190971907619826
0.155895169426957,0.142857142857143,14,0.0445493997186456,0,0.972991414025281,thompson_optimistic,0.420659217269448,14,13.3048386852845,rectangle,0.0488441509809534
0.141711955915801,0.222222222222222,18,0.192491310534305,3,0.351508716272593,thompson,0.440519973271666,7,14.6687862124121,rectangle,0.0243221920929746
0.167718829139702,0.0344827586206896,29,0.320065568747016,13,0.465195122824917,ucb,0.660304711793625,28,17.4524599077298,scatter,0.0142891618228699
0.142495181206578,0.133333333333333,45,0.0720767199107837,0,0.970517667375147,ucb,0.130585939522816,78,10.5625427366012,rectangle,0.0383187794336084
0.157411838035878,0,5,0.657106495439976,4,0.413417212879725,thompson_optimistic,0.158134029072156,652,7.79433796548753,single_point,0.0343157857404398
0.154544635747537,0.0101010101010101,99,0.824718721279696,26,0.183295024802629,ucb,0.476381342234734,13,8.56315538502336,scatter,0.0256733142003547
0.139974673507092,0,14,0.920523776109997,11,0.964260635234943,thompson,0.713960096512925,151,2.18974651887851,single_point,0.0110702281908628
0.143487471780499,0,25,0.315256341438494,20,0.750543871437775,thompson_optimistic,0.469550184351305,98,15.7309509442156,single_point,0.0262974430762087
0.149169399582376,0,17,0.878668883059381,11,0.542936596509984,ucb,0.950693770488001,216,16.6483903754915,single_point,0.00711753798302002
0.144750510961025,0.0444444444444444,45,0.0699738184591601,37,0.00816153119038077,thompson_optimistic,0.262341275676941,71,2.46967412033785,rectangle,0.0180105580380819
0.162671162178641,0.0222222222222223,45,0.152997663710539,8,0.324182961771635,thompson_optimistic,0.818520720506906,31,13.1092753416928,scatter,0.0355241168507971
0.150387183593803,0.0862068965517241,58,0.177567267014716,40,0.2522015763792,thompson,0.161409480986927,53,10.1279869925796,scatter,0.00443402579905935
0.148119837950833,0,80,0.631646036969858,1,0.479720287550437,thompson_optimistic,0.288749017994777,40,19.4596410647781,single_point,0.0356595352293422
0.156633037107118,0,17,0.823208987001486,15,0.112013438615324,thompson,0.588727898055089,157,18.0200874281861,single_point,0.0251892628190338
0.145320177861563,0.0454545454545454,44,0.944757020825608,3,0.21920335798022,thompson,0.984882866507605,7,18.3570159818474,rectangle,0.0497851381390477
0.176385935197055,0,16,0.849926534203954,11,0.508395393688658,ucb,0.017380606729878,32,9.79762646864839,scatter,0.0164901663573908
0.147079744764529,0.01,100,0.843790411652927,70,0.850930428869637,thompson_optimistic,0.38255321576328,14,14.6574460942781,rectangle,0.0411588800538042
0.138099648352401,0.181818181818182,88,0.0162639679308968,2,0.793182415137909,thompson,0.35250982957274,16,1.89485544473243,single_point,0.0269904391696181
0.158257167765822,0.105263157894737,19,0.193648151284234,5,0.827060320774594,thompson,0.574709624375217,201,19.352141246424,scatter,0.00605849129692325
0.142357406023795,0.0869565217391305,23,0.397930062821355,1,0.437266425067069,ucb,0.365601204337052,172,9.75412846709576,rectangle,0.0365081064976406
0.221508233536751,0.59493670886076,79,0.023726743042829,54,0.918787340711172,thompson_optimistic,0.281339953694224,1,14.999943173829,rectangle,0.00776255763480924
0.141214939356799,0.0123456790123457,81,0.82852640721608,31,0.0574315182851263,thompson,0.508329592407382,9,13.1443915313246,rectangle,0.0173252190753668
0.147758601611208,0,97,0.329174534735777,80,0.203451282825494,thompson_optimistic,0.0763129187098723,14,4.92034100106289,scatter,0.0264991935052557
0.226437945162888,0.454545454545455,11,0.840502594234363,5,0.986868932207958,ucb,0.766600572404749,70,1.82015238048958,single_point,0.0311714831298682
0.148171999014767,0.0111111111111111,90,0.315625328755596,70,0.790743996371308,ucb,0.410046121965587,20,4.23055350616129,scatter,0.0448819677947426
0.142953124778747,0,69,0.279048113961085,60,0.385781426168831,thompson_optimistic,0.194045712662112,38,16.2106010737236,single_point,0.0105230244714052
0.152684986689859,0.0294117647058824,68,0.676036976442087,23,0.427312617684543,thompson,0.858498433864648,24,0.217885716965276,scatter,0.0311582838105607
0.19090177552442,0.0566037735849056,53,0.341728946429618,37,0.831192979677013,thompson_optimistic,0.592536153315929,5,17.4254224190837,single_point,0.0354023972951333
0.253665776989008,0.03125,32,0.96759740952834,15,0.262595638875161,thompson,0.296536671839785,8,9.64963999996733,rectangle,0.0153290034794399
0.134781863997265,0,77,0.207956474922427,32,0.155737938790892,thompson_optimistic,0.975741734944133,30,4.93862949795494,single_point,0.0492563003285984
0.152868604790602,0.0253164556962026,79,0.75675213301743,37,0.233709344178609,thompson,0.896085887067022,18,10.1697085355506,rectangle,0.022772830993966
0.147425241042674,0.0793650793650794,63,0.573771131932983,9,0.149693261381878,thompson_optimistic,0.940085087521735,9,18.6204080101825,single_point,0.0330139959590951
0.143737778588372,0,39,0.201821259543654,26,0.375386795306278,thompson,0.599351788942992,85,7.8093416395801,rectangle,0.0359855893985025
0.150925447103315,0.0847457627118644,59,0.422883706005597,0,0.183965053093015,thompson_optimistic,0.0970057487219792,59,9.38817770283721,scatter,0.0248179930000854
0.164298887299846,0.0909090909090909,11,0.674068286626305,7,0.0849755191523397,ucb,0.805383170285675,72,18.3112722100315,scatter,0.0292985984376247
0.136772523807063,0,17,0.383056554659356,16,0.630515938169816,thompson,0.751403720112368,115,12.5272331435513,rectangle,0.0426943187896497
0.164321067558918,0.0266666666666666,75,0.856195267139134,31,0.383625829337402,thompson,0.53754569936709,15,12.6765644017863,single_point,0.00612675854951799
