R,duplicates,population,mutation,elitism,alpha,evaluation,crossover_rate,repetitions,exploration,crossover_type,creation
0.156757130552874,0,71,0.459158109106443,47,0.791612158292598,ucb,0.696188960798265,23,13.0447287422699,scatter,0.0286227638136483
0.156918958612647,0,90,0.0807720571069172,67,0.893986084739758,thompson,0.591634431444937,8,15.9258502230153,rectangle,0.0189687882632702
0.145449343471946,0,7,0.562107262605503,6,0.213787340004445,thompson,0.565020422686823,511,16.5772159450649,single_point,0.0330674925805557
0.168630025929844,0,98,0.0387749250438667,30,0.396720105702265,thompson_optimistic,0.0469791379468432,11,2.0132546490767,scatter,0.0376428773618091
0.188585443128427,0,18,0.617909944375188,9,0.128548063963295,thompson_optimistic,0.963815800846333,100,9.90567223051864,rectangle,0.0160401208732941
0.149647673424043,0,21,0.421065023498062,16,0.0328414344635193,ucb,0.652295603528365,169,14.8917570419663,single_point,0.0138313484605082
0.152382004023647,0,84,0.480710940357226,20,0.939272497112483,thompson_optimistic,0.774838528065483,38,17.7569915252037,rectangle,0.000535359065683666
0.348761530884974,0,26,0.0168853325284031,3,0.740838162072443,ucb,0.454663216974794,80,12.888990111822,rectangle,0.0347649066641696
0.178184742996851,0,91,0.0815967712504356,71,0.697628142007549,thompson,0.564296336970712,43,1.90121704555157,single_point,0.0461512769243735
0.122617631119121,0,10,0.361449346283042,0,0.0534423559298565,thompson_optimistic,0.0405087718815903,71,8.85110832898743,scatter,0.0216232528243261
0.152851995936823,0,82,0.144922244473846,63,0.0454621441045039,thompson_optimistic,0.125079878055621,45,17.8703372388976,rectangle,0.0319401517438503
0.113538911473311,0,69,0.0638551620881942,0,0.922585899060639,ucb,0.823804403922364,20,11.1371487175026,scatter,0.0480738971033099
0.164356914789213,0,13,0.754202371017468,3,0.72168750208979,ucb,0.837039813553317,168,14.7494244726335,single_point,0.0189557005729147
0.182550241190937,0,94,0.26955155143548,54,0.281915677109505,thompson_optimistic,0.805011360499021,24,3.85444883731937,single_point,0.0367104884733102
0.244666489922298,0,45,0.0198191339152292,11,0.685876095010194,ucb,0.889975110295245,8,5.05427713328479,scatter,0.0286328969373105
0.14482031058842,0,40,0.537621370904958,23,0.0391618820199326,thompson,0.016949126350792,22,16.8644777581587,scatter,0.00950215349576569
0.200284982364297,0,10,0.125845397703938,4,0.647959317342299,ucb,0.958370488047108,164,15.0230814295549,scatter,0.032411542211556
0.209792532188453,0,39,0.141308778160331,17,0.476812533633396,thompson,0.450561498048216,56,6.26348396477797,scatter,0.0457131902536347
0.118808777250172,0,58,0.54613951978055,5,0.930830831255464,ucb,0.331264538452548,48,12.3072254833337,single_point,0.0301256356234395
0.174951554440659,0,39,0.963089722256685,0,0.00914996318093497,thompson,0.945740971205642,90,6.15669975786321,scatter,0.0120326192277181
0.187071111878312,0,87,0.677547153964803,26,0.1902310328468,thompson,0.300243190747907,1,19.0411006699371,rectangle,0.0420564376024233
0.169024488735222,0,73,0.917748951100559,21,0.851843630633474,thompson,0.745253151672974,37,10.1000939733817,rectangle,0.0202723482582069
